start	end	text
0	29000	I just spent the whole day pretty much bringing up my age-old blog site.
29000	46000	Last I had worked on it was I had moved it to 11ty because I wanted a good enough markdown to a good enough more text-focused site.
46000	54000	And then I have been trying, what I've been saying that I want to get back to writing.
54000	64000	So there was something very small happened at work so I started working with these people because it was the end of the project.
64000	70000	And one of the things that we are currently doing is figuring out deployment plans.
70000	91000	One of that was versioning strategy and I was like, at least let me write whatever we decided there because where it began was it started as a small tweet on Mastodon trying to just write the format that I had decided.
91000	100000	Then I needed to write another paragraph. Then I exceeded Mastodon's text limit. Should I break it down into multiple posts?
100000	109000	At this point, it makes sense to just write it in markdown on that blasted site where I have not made updates in years and put it there.
109000	116000	Then when I went to put it there, I first did it. It's connected to Versel so you need your deployment.
116000	124000	Then I log into Versel and I see a bunch of build failures. Sorry, sorry, it did not go through. It got blocked so I logged into Versel and I saw build failures.
124000	136000	And turned out it was set to Node.js 12. So Versel has deprecated Node 12. So this entire day was that thread.
136000	143000	And then it was, I have done this, I have done that. I might as well sit with the recording and start writing.
143000	149000	Okay, now that I have written, I might as well put it on the website. Now that I have put it on the website, I might as well do this.
149000	156000	So that's what I was doing till 1758.
157000	161000	Actually good, pretty good.
161000	179000	We are live. So yeah, I also have to do something very similar and I have written more, I started writing more amount of microblogging frameworks than actually blogging.
179000	187000	Every time I come up with this, this one doesn't fit me, I need to write something. There are so many names, FLOG.
187000	193000	The last one was named FLOG.
193000	202000	But yeah, I appreciate somebody at least putting things out there instead of just doing the procrastination behind it.
202000	208000	Even just for five years.
208000	216000	But what I mean is today is a historic day, even if it is the only historic day for the next four years.
216000	221000	Makes sense, makes sense.
221000	227000	So I was thinking about what you said and kind of trying to build up the idea.
227000	242000	So here's a thought. We have the right ideas, we do the right things, but don't, like we get, because we are too early to the party, we get lukewarm feedback about it.
242000	246000	And we don't stick around when the party actually kicks in.
246000	253000	We kind of, before that, shit this sucks and I'm going to go home and we just leave for home.
254000	258000	That ends up happening.
258000	262000	I don't have to explain that part, right? You agree that happens.
262000	268000	Now if we explain it will be for the audience and for the record, like FDR.
268000	272000	So I'll come back to the explanation part.
272000	280000	Like when those things happen, Applet is a good enough example, the AI, the things that we predict, this is where things will go.
280000	285000	These are the things we should build that also includes like, what do you call it?
285000	294000	The online communication platforms, Groupone and all, like very efficiently adopting WebRTC, seeing the potential in it.
294000	298000	All those things, we did it early, did it in advance.
298000	304000	It actually struck a chord with people who cared, but not with the mass.
304000	310000	It was not sustainable in that sense, that it wouldn't generate revenue immediately.
310000	319000	But instead of sticking out with that, we kind of like, ah, people just don't understand, let's do something else that is fun and interesting.
319000	321000	We kind of went through the loop of that.
321000	326000	I was thinking that that might again be the case, unless we are being mindful about it.
326000	340000	And this is a platform where, first time in human history, people are actually having discussions or interactive way of communicating.
340000	346000	Just basically not just one to many kind of communication, which has been the entire history.
346000	349000	Somebody tells you something and you do it, instead of that.
349000	361000	Now, I think my audio was still pretty screwed up.
361000	375000	So now, through those podcasts, audio books, like the comments in the video platforms, as well as the response videos like on TikTok and everything,
375000	384000	there's like interactivity between where people are getting their information from and sharing it, bouncing it right back at them.
384000	392000	And that is happening. That is actually huge from a potential perspective, from seeing a potential like what matters, right?
392000	402000	First time somebody like marked something on a card, something on a rock, it was not something that like it was not profound.
402000	408000	It was not really something that you would frame it and put it on a wall.
408000	415000	But it is something that you would frame it and put it on the wall for the sheer potential of transcending information through time.
